component_id,lot_id,component_type,parameter,value_0h_uA,value_24h_uA,value_96h_uA,value_168h_uA,datasheet_limit_uA,ground_truth_class
C01570,L070,Type_C,leakage_current,8.974,9.074,9.524,10.085,50.0,Healthy
C01571,L071,Type_A,leakage_current,9.552,9.67,9.913,9.966,50.0,Healthy
C01572,L072,Type_B,leakage_current,10.14,10.372,10.578,11.049,50.0,Healthy
C01573,L073,Type_A,leakage_current,9.268,16.193,37.355,58.413,50.0,Obvious_Failure
C01574,L074,Type_A,leakage_current,9.813,10.222,11.08,11.761,50.0,Healthy
C01575,L075,Type_B,leakage_current,10.859,15.884,31.132,45.185,50.0,Obvious_Failure
C01576,L076,Type_A,leakage_current,9.38,9.671,10.015,10.304,50.0,Healthy
C01577,L077,Type_C,leakage_current,9.836,10.062,11.004,11.759,50.0,Healthy
C01578,L078,Type_A,leakage_current,10.304,10.447,10.995,11.629,50.0,Healthy
C01579,L079,Type_A,leakage_current,10.905,11.1,12.264,12.887,50.0,Healthy
C01580,L080,Type_A,leakage_current,8.939,9.243,9.63,10.536,50.0,Healthy
C01581,L081,Type_A,leakage_current,10.541,10.683,11.35,11.597,50.0,Healthy
C01582,L082,Type_B,leakage_current,11.003,11.351,11.804,12.245,50.0,Healthy
C01583,L083,Type_A,leakage_current,9.466,12.416,40.447,68.772,50.0,Rapid_Drift
C01584,L084,Type_C,leakage_current,8.782,8.895,9.509,10.118,50.0,Healthy
C01585,L085,Type_A,leakage_current,9.25,9.51,10.168,10.844,50.0,Healthy
C01586,L086,Type_B,leakage_current,11.662,11.738,12.634,13.3,50.0,Healthy
C01587,L087,Type_A,leakage_current,9.492,9.565,10.167,10.489,50.0,Healthy
C01588,L088,Type_A,leakage_current,10.773,12.781,29.984,44.508,50.0,Latent_Defect
C01589,L089,Type_A,leakage_current,10.303,10.431,10.663,10.957,50.0,Healthy
C01590,L090,Type_B,leakage_current,10.689,10.693,11.758,12.567,50.0,Healthy
C01591,L091,Type_C,leakage_current,10.273,11.758,27.335,42.446,50.0,Latent_Defect
C01592,L092,Type_C,leakage_current,10.467,10.818,11.421,12.437,50.0,Healthy
C01593,L093,Type_A,leakage_current,9.073,9.356,10.112,10.497,50.0,Healthy
C01594,L094,Type_A,leakage_current,10.017,10.232,10.367,10.896,50.0,Healthy
C01595,L095,Type_A,leakage_current,9.694,9.825,10.491,11.178,50.0,Healthy
C01596,L096,Type_A,leakage_current,10.604,10.549,10.773,11.588,50.0,Healthy
C01597,L097,Type_A,leakage_current,9.812,10.069,10.623,11.299,50.0,Healthy
C01598,L098,Type_A,leakage_current,9.39,9.729,10.31,11.045,50.0,Healthy
C01599,L099,Type_C,leakage_current,8.735,8.909,9.519,10.203,50.0,Healthy
C01600,L100,Type_B,leakage_current,10.805,11.162,11.745,12.478,50.0,Healthy
C01601,L001,Type_A,leakage_current,9.853,11.144,27.543,43.77,50.0,Latent_Defect
C01602,L002,Type_A,leakage_current,9.551,9.734,10.309,10.904,50.0,Healthy
C01603,L003,Type_B,leakage_current,10.532,10.507,10.684,10.867,50.0,Healthy
C01604,L004,Type_A,leakage_current,9.088,9.264,9.667,10.203,50.0,Healthy
C01605,L005,Type_A,leakage_current,8.774,9.066,9.713,10.405,50.0,Healthy
C01606,L006,Type_B,leakage_current,10.925,11.051,11.666,12.274,50.0,Healthy
C01607,L007,Type_A,leakage_current,9.966,9.823,10.261,10.834,50.0,Healthy
C01608,L008,Type_B,leakage_current,10.613,10.896,11.699,12.368,50.0,Healthy
C01609,L009,Type_A,leakage_current,10.439,10.642,11.026,11.68,50.0,Healthy
C01610,L010,Type_B,leakage_current,11.143,11.159,11.53,11.39,50.0,Healthy
C01611,L011,Type_A,leakage_current,10.445,10.633,11.376,11.737,50.0,Healthy
C01612,L012,Type_A,leakage_current,9.952,10.392,11.21,11.938,50.0,Healthy
C01613,L013,Type_C,leakage_current,9.285,9.46,10.357,11.059,50.0,Healthy
C01614,L014,Type_B,leakage_current,10.753,10.949,11.57,12.299,50.0,Healthy
C01615,L015,Type_B,leakage_current,11.294,11.579,12.347,12.989,50.0,Healthy
C01616,L016,Type_A,leakage_current,10.172,10.352,11.148,11.697,50.0,Healthy
C01617,L017,Type_A,leakage_current,9.789,11.25,28.722,40.495,50.0,Latent_Defect
C01618,L018,Type_B,leakage_current,10.363,10.477,10.842,11.484,50.0,Healthy
C01619,L019,Type_A,leakage_current,10.461,12.253,25.655,39.547,50.0,Latent_Defect
C01620,L020,Type_A,leakage_current,11.096,13.893,39.677,65.88,50.0,Rapid_Drift
C01621,L021,Type_A,leakage_current,9.747,10.182,10.623,11.3,50.0,Healthy
C01622,L022,Type_A,leakage_current,9.394,9.582,10.165,10.991,50.0,Healthy
C01623,L023,Type_C,leakage_current,9.161,9.411,9.83,10.285,50.0,Healthy
C01624,L024,Type_A,leakage_current,9.875,10.006,10.963,11.526,50.0,Healthy
C01625,L025,Type_B,leakage_current,10.902,12.704,27.56,39.442,50.0,Latent_Defect
C01626,L026,Type_A,leakage_current,9.279,12.824,38.801,64.939,50.0,Rapid_Drift
C01627,L027,Type_A,leakage_current,10.322,10.637,11.311,12.112,50.0,Healthy
C01628,L028,Type_A,leakage_current,8.89,10.384,22.938,35.739,50.0,Latent_Defect
C01629,L029,Type_A,leakage_current,10.194,10.338,10.956,11.188,50.0,Healthy
C01630,L030,Type_A,leakage_current,10.516,10.848,11.358,11.893,50.0,Healthy
C01631,L031,Type_B,leakage_current,10.367,10.572,11.301,12.3,50.0,Healthy
C01632,L032,Type_C,leakage_current,10.305,10.425,10.51,10.605,50.0,Healthy
C01633,L033,Type_B,leakage_current,11.157,11.457,12.105,12.785,50.0,Healthy
C01634,L034,Type_A,leakage_current,8.9,9.047,9.521,10.2,50.0,Healthy
C01635,L035,Type_A,leakage_current,10.213,10.323,10.592,10.717,50.0,Healthy
C01636,L036,Type_A,leakage_current,10.204,10.32,10.38,10.504,50.0,Healthy
C01637,L037,Type_B,leakage_current,10.931,11.065,11.316,11.665,50.0,Healthy
C01638,L038,Type_A,leakage_current,9.403,9.482,9.755,9.814,50.0,Healthy
C01639,L039,Type_B,leakage_current,11.216,11.392,12.116,12.643,50.0,Healthy
C01640,L040,Type_A,leakage_current,10.291,11.802,32.44,39.371,50.0,Latent_Defect
C01641,L041,Type_A,leakage_current,9.846,9.765,10.324,10.302,50.0,Healthy
C01642,L042,Type_B,leakage_current,10.839,11.225,11.996,12.496,50.0,Healthy
C01643,L043,Type_A,leakage_current,9.83,10.114,10.489,10.923,50.0,Healthy
C01644,L044,Type_A,leakage_current,8.713,8.97,9.401,9.956,50.0,Healthy
C01645,L045,Type_A,leakage_current,10.034,10.183,10.919,11.854,50.0,Healthy
C01646,L046,Type_B,leakage_current,11.717,11.781,11.596,12.11,50.0,Healthy
C01647,L047,Type_A,leakage_current,9.811,9.878,10.754,11.572,50.0,Healthy
C01648,L048,Type_C,leakage_current,8.532,15.561,37.021,57.826,50.0,Obvious_Failure
C01649,L049,Type_B,leakage_current,10.236,11.894,29.8,42.706,50.0,Latent_Defect
C01650,L050,Type_A,leakage_current,9.792,9.852,10.606,11.154,50.0,Healthy
C01651,L051,Type_B,leakage_current,9.887,9.907,10.352,11.254,50.0,Healthy
C01652,L052,Type_C,leakage_current,8.844,9.115,9.727,10.36,50.0,Healthy
C01653,L053,Type_A,leakage_current,9.787,13.073,32.835,51.901,50.0,Rapid_Drift
C01654,L054,Type_C,leakage_current,9.82,10.145,10.661,11.264,50.0,Healthy
C01655,L055,Type_A,leakage_current,10.316,10.53,11.139,11.73,50.0,Healthy
C01656,L056,Type_A,leakage_current,9.983,10.239,10.701,10.859,50.0,Healthy
C01657,L057,Type_A,leakage_current,10.078,10.37,11.144,11.544,50.0,Healthy
C01658,L058,Type_C,leakage_current,9.298,9.677,10.474,11.075,50.0,Healthy
C01659,L059,Type_A,leakage_current,10.745,10.914,11.34,11.671,50.0,Healthy
C01660,L060,Type_B,leakage_current,10.555,12.012,24.204,36.508,50.0,Latent_Defect
C01661,L061,Type_A,leakage_current,10.829,11.346,12.127,12.67,50.0,Healthy
C01662,L062,Type_B,leakage_current,10.681,11.122,11.804,12.567,50.0,Healthy
C01663,L063,Type_A,leakage_current,11.41,11.833,12.684,13.28,50.0,Healthy
C01664,L064,Type_A,leakage_current,8.401,8.589,9.153,9.969,50.0,Healthy
C01665,L065,Type_A,leakage_current,10.529,12.506,31.115,45.343,50.0,Latent_Defect
C01666,L066,Type_A,leakage_current,10.585,10.734,11.711,12.417,50.0,Healthy
C01667,L067,Type_C,leakage_current,9.15,9.226,9.745,10.326,50.0,Healthy
C01668,L068,Type_B,leakage_current,10.754,11.018,11.54,11.944,50.0,Healthy
C01669,L069,Type_C,leakage_current,9.538,9.638,9.975,10.379,50.0,Healthy
C01670,L070,Type_A,leakage_current,9.79,11.149,23.58,36.929,50.0,Latent_Defect
C01671,L071,Type_A,leakage_current,10.829,10.97,11.312,11.84,50.0,Healthy
C01672,L072,Type_A,leakage_current,8.888,8.877,9.55,10.152,50.0,Healthy
C01673,L073,Type_A,leakage_current,10.814,13.986,38.806,63.246,50.0,Rapid_Drift
C01674,L074,Type_A,leakage_current,10.601,10.912,11.783,12.561,50.0,Healthy
C01675,L075,Type_A,leakage_current,9.832,9.979,10.38,10.834,50.0,Healthy
C01676,L076,Type_C,leakage_current,9.51,9.683,10.09,10.502,50.0,Healthy
C01677,L077,Type_A,leakage_current,8.845,8.932,9.388,9.708,50.0,Healthy
C01678,L078,Type_B,leakage_current,11.283,12.423,30.121,43.851,50.0,Latent_Defect
C01679,L079,Type_C,leakage_current,9.756,12.784,39.118,65.506,50.0,Rapid_Drift
C01680,L080,Type_B,leakage_current,11.111,11.318,11.805,12.347,50.0,Healthy
C01681,L081,Type_A,leakage_current,9.704,9.79,10.47,11.206,50.0,Healthy
C01682,L082,Type_C,leakage_current,9.776,9.897,10.6,11.413,50.0,Healthy
C01683,L083,Type_C,leakage_current,9.913,10.109,10.727,11.402,50.0,Healthy
C01684,L084,Type_A,leakage_current,9.739,13.167,36.657,61.148,50.0,Rapid_Drift
C01685,L085,Type_A,leakage_current,9.782,9.929,10.599,11.606,50.0,Healthy
C01686,L086,Type_A,leakage_current,9.935,10.303,10.733,11.235,50.0,Healthy
C01687,L087,Type_A,leakage_current,9.308,9.31,9.346,10.275,50.0,Healthy
C01688,L088,Type_B,leakage_current,11.104,11.175,11.79,12.412,50.0,Healthy
C01689,L089,Type_B,leakage_current,9.391,9.717,10.58,11.221,50.0,Healthy
C01690,L090,Type_B,leakage_current,10.852,11.009,11.407,12.0,50.0,Healthy
C01691,L091,Type_B,leakage_current,11.034,11.118,11.359,11.661,50.0,Healthy
C01692,L092,Type_C,leakage_current,9.537,11.065,26.991,42.824,50.0,Latent_Defect
C01693,L093,Type_C,leakage_current,10.058,10.186,10.558,11.315,50.0,Healthy
C01694,L094,Type_B,leakage_current,10.42,10.613,11.591,12.224,50.0,Healthy
C01695,L095,Type_A,leakage_current,11.185,11.276,11.753,11.907,50.0,Healthy
C01696,L096,Type_A,leakage_current,10.562,10.991,12.039,12.979,50.0,Healthy
C01697,L097,Type_B,leakage_current,10.766,11.083,11.276,11.576,50.0,Healthy
C01698,L098,Type_A,leakage_current,9.85,10.075,10.427,11.203,50.0,Healthy
C01699,L099,Type_A,leakage_current,9.194,9.091,9.291,9.968,50.0,Healthy
C01700,L100,Type_C,leakage_current,8.727,9.093,9.669,10.624,50.0,Healthy
C01701,L001,Type_B,leakage_current,10.459,12.264,29.928,40.906,50.0,Latent_Defect
C01702,L002,Type_B,leakage_current,11.008,11.313,11.736,11.883,50.0,Healthy
C01703,L003,Type_C,leakage_current,8.879,9.078,9.829,10.318,50.0,Healthy
C01704,L004,Type_A,leakage_current,10.162,10.397,11.435,12.258,50.0,Healthy
C01705,L005,Type_B,leakage_current,11.481,11.7,11.769,12.008,50.0,Healthy
C01706,L006,Type_B,leakage_current,10.526,11.76,26.547,41.149,50.0,Latent_Defect
C01707,L007,Type_A,leakage_current,9.496,18.138,44.503,70.284,50.0,Obvious_Failure
C01708,L008,Type_A,leakage_current,10.988,13.581,27.621,41.03,50.0,Latent_Defect
C01709,L009,Type_A,leakage_current,9.251,10.882,26.053,40.264,50.0,Latent_Defect
C01710,L010,Type_B,leakage_current,11.157,11.526,12.208,12.863,50.0,Healthy
C01711,L011,Type_C,leakage_current,9.549,9.808,10.123,10.949,50.0,Healthy
C01712,L012,Type_A,leakage_current,9.829,11.351,30.948,44.318,50.0,Latent_Defect
C01713,L013,Type_B,leakage_current,10.139,10.276,10.669,11.211,50.0,Healthy
C01714,L014,Type_B,leakage_current,11.579,11.942,12.629,13.339,50.0,Healthy
C01715,L015,Type_A,leakage_current,10.04,10.348,11.232,11.612,50.0,Healthy
C01716,L016,Type_B,leakage_current,11.156,11.347,11.882,12.596,50.0,Healthy
C01717,L017,Type_A,leakage_current,10.84,11.142,11.661,11.857,50.0,Healthy
C01718,L018,Type_A,leakage_current,10.001,10.088,10.921,11.387,50.0,Healthy
C01719,L019,Type_C,leakage_current,10.207,10.339,10.686,11.126,50.0,Healthy
C01720,L020,Type_B,leakage_current,10.267,11.922,26.263,40.407,50.0,Latent_Defect
C01721,L021,Type_A,leakage_current,10.96,11.049,11.633,11.909,50.0,Healthy
C01722,L022,Type_A,leakage_current,9.924,9.991,10.281,10.852,50.0,Healthy
C01723,L023,Type_A,leakage_current,10.493,10.813,11.28,11.498,50.0,Healthy
C01724,L024,Type_B,leakage_current,10.601,10.716,11.305,11.651,50.0,Healthy
C01725,L025,Type_B,leakage_current,11.629,11.812,12.301,13.363,50.0,Healthy
C01726,L026,Type_C,leakage_current,9.095,9.494,10.391,11.075,50.0,Healthy
C01727,L027,Type_B,leakage_current,10.646,10.785,11.911,12.705,50.0,Healthy
C01728,L028,Type_A,leakage_current,10.5,10.639,11.182,12.155,50.0,Healthy
C01729,L029,Type_A,leakage_current,9.069,9.178,9.954,10.473,50.0,Healthy
C01730,L030,Type_A,leakage_current,11.208,11.209,11.777,12.405,50.0,Healthy
C01731,L031,Type_A,leakage_current,9.453,9.661,10.087,10.664,50.0,Healthy
C01732,L032,Type_C,leakage_current,9.614,10.576,28.055,43.099,50.0,Latent_Defect
C01733,L033,Type_A,leakage_current,9.522,12.595,31.736,50.823,50.0,Rapid_Drift
C01734,L034,Type_A,leakage_current,10.863,11.178,11.571,11.764,50.0,Healthy
C01735,L035,Type_B,leakage_current,10.207,10.368,10.799,11.398,50.0,Healthy
C01736,L036,Type_A,leakage_current,9.325,9.558,10.122,10.734,50.0,Healthy
C01737,L037,Type_C,leakage_current,8.558,8.937,9.62,10.287,50.0,Healthy
C01738,L038,Type_B,leakage_current,10.483,10.741,11.274,11.598,50.0,Healthy
C01739,L039,Type_A,leakage_current,10.337,10.908,11.618,12.564,50.0,Healthy
C01740,L040,Type_A,leakage_current,9.627,9.851,10.179,10.693,50.0,Healthy
C01741,L041,Type_A,leakage_current,10.251,10.523,11.206,12.254,50.0,Healthy
C01742,L042,Type_B,leakage_current,11.279,11.515,12.197,13.088,50.0,Healthy
C01743,L043,Type_A,leakage_current,10.103,10.258,10.993,11.929,50.0,Healthy
C01744,L044,Type_C,leakage_current,10.532,19.639,47.567,75.695,50.0,Obvious_Failure
C01745,L045,Type_B,leakage_current,10.336,10.586,11.558,12.062,50.0,Healthy
C01746,L046,Type_C,leakage_current,9.237,9.477,10.125,10.744,50.0,Healthy
C01747,L047,Type_A,leakage_current,10.193,10.372,11.407,11.772,50.0,Healthy
C01748,L048,Type_B,leakage_current,11.536,11.78,12.455,13.151,50.0,Healthy
C01749,L049,Type_B,leakage_current,10.692,10.732,11.345,12.044,50.0,Healthy
C01750,L050,Type_A,leakage_current,10.653,10.889,11.504,11.614,50.0,Healthy
C01751,L051,Type_A,leakage_current,9.904,10.046,10.544,10.973,50.0,Healthy
C01752,L052,Type_A,leakage_current,10.89,11.044,11.411,12.124,50.0,Healthy
C01753,L053,Type_A,leakage_current,9.367,9.593,9.886,10.461,50.0,Healthy
C01754,L054,Type_A,leakage_current,9.195,12.095,34.467,56.457,50.0,Rapid_Drift
C01755,L055,Type_B,leakage_current,8.776,9.094,9.519,10.242,50.0,Healthy
C01756,L056,Type_A,leakage_current,10.412,10.748,11.426,12.04,50.0,Healthy
C01757,L057,Type_A,leakage_current,10.603,10.992,11.878,12.786,50.0,Healthy
C01758,L058,Type_A,leakage_current,10.748,11.093,11.622,12.034,50.0,Healthy
C01759,L059,Type_B,leakage_current,9.778,10.129,10.389,10.601,50.0,Healthy
C01760,L060,Type_A,leakage_current,8.976,9.299,9.983,10.936,50.0,Healthy
C01761,L061,Type_C,leakage_current,8.688,8.815,9.502,9.828,50.0,Healthy
C01762,L062,Type_A,leakage_current,10.7,10.807,10.858,10.994,50.0,Healthy
C01763,L063,Type_C,leakage_current,9.424,9.571,9.998,10.383,50.0,Healthy
C01764,L064,Type_A,leakage_current,10.776,11.199,11.842,12.379,50.0,Healthy
C01765,L065,Type_A,leakage_current,10.672,10.863,11.672,12.128,50.0,Healthy
C01766,L066,Type_B,leakage_current,10.694,10.926,11.192,11.527,50.0,Healthy
C01767,L067,Type_B,leakage_current,10.56,12.518,32.757,42.147,50.0,Latent_Defect
C01768,L068,Type_B,leakage_current,11.145,11.275,11.578,11.488,50.0,Healthy
C01769,L069,Type_A,leakage_current,9.325,10.875,29.76,45.389,50.0,Latent_Defect
C01770,L070,Type_B,leakage_current,10.614,10.678,10.955,11.383,50.0,Healthy
C01771,L071,Type_A,leakage_current,10.008,10.301,11.141,11.634,50.0,Healthy
C01772,L072,Type_C,leakage_current,10.508,10.592,10.794,11.25,50.0,Healthy
C01773,L073,Type_B,leakage_current,10.419,10.752,11.619,12.431,50.0,Healthy
C01774,L074,Type_C,leakage_current,9.957,10.092,10.53,11.177,50.0,Healthy
C01775,L075,Type_C,leakage_current,9.471,9.761,10.055,10.638,50.0,Healthy
C01776,L076,Type_A,leakage_current,10.23,10.459,10.973,11.8,50.0,Healthy
C01777,L077,Type_A,leakage_current,10.534,12.908,31.972,46.406,50.0,Latent_Defect
C01778,L078,Type_C,leakage_current,9.666,10.77,27.628,44.268,50.0,Latent_Defect
C01779,L079,Type_A,leakage_current,9.999,10.293,10.95,11.767,50.0,Healthy
C01780,L080,Type_A,leakage_current,10.287,10.157,10.464,10.548,50.0,Healthy
C01781,L081,Type_A,leakage_current,9.992,10.401,11.449,12.253,50.0,Healthy
C01782,L082,Type_A,leakage_current,10.422,10.67,11.615,12.538,50.0,Healthy
C01783,L083,Type_B,leakage_current,10.098,15.507,32.201,48.584,50.0,Obvious_Failure
C01784,L084,Type_B,leakage_current,10.726,10.944,11.277,11.97,50.0,Healthy
C01785,L085,Type_A,leakage_current,10.24,12.272,28.403,42.448,50.0,Latent_Defect
C01786,L086,Type_A,leakage_current,10.03,10.281,10.533,11.108,50.0,Healthy
C01787,L087,Type_B,leakage_current,10.492,10.721,11.498,12.419,50.0,Healthy
C01788,L088,Type_A,leakage_current,9.727,9.91,10.704,11.339,50.0,Healthy
C01789,L089,Type_B,leakage_current,10.5,10.762,11.418,11.756,50.0,Healthy
C01790,L090,Type_A,leakage_current,10.469,10.598,10.989,11.363,50.0,Healthy
C01791,L091,Type_A,leakage_current,10.419,10.442,10.81,11.281,50.0,Healthy
C01792,L092,Type_A,leakage_current,10.419,10.663,11.595,12.191,50.0,Healthy
C01793,L093,Type_A,leakage_current,9.254,9.365,9.681,9.818,50.0,Healthy
C01794,L094,Type_A,leakage_current,10.71,11.044,12.18,13.108,50.0,Healthy
C01795,L095,Type_A,leakage_current,9.808,10.062,10.717,11.309,50.0,Healthy
C01796,L096,Type_C,leakage_current,9.807,9.922,10.289,10.674,50.0,Healthy
C01797,L097,Type_A,leakage_current,9.642,13.039,30.182,47.792,50.0,Rapid_Drift
C01798,L098,Type_B,leakage_current,10.573,10.635,11.418,12.088,50.0,Healthy
C01799,L099,Type_A,leakage_current,9.408,9.705,10.031,10.373,50.0,Healthy
C01800,L100,Type_B,leakage_current,10.314,10.464,10.98,11.468,50.0,Healthy
C01801,L001,Type_A,leakage_current,10.287,10.393,11.091,11.345,50.0,Healthy
C01802,L002,Type_A,leakage_current,9.454,9.62,10.182,10.815,50.0,Healthy
C01803,L003,Type_A,leakage_current,9.194,9.373,9.911,10.599,50.0,Healthy
C01804,L004,Type_C,leakage_current,9.296,9.394,9.598,10.009,50.0,Healthy
C01805,L005,Type_B,leakage_current,9.753,9.729,10.233,10.717,50.0,Healthy
C01806,L006,Type_A,leakage_current,10.052,10.202,10.388,10.715,50.0,Healthy
C01807,L007,Type_A,leakage_current,9.77,9.852,10.475,11.093,50.0,Healthy
C01808,L008,Type_B,leakage_current,10.281,10.517,11.494,11.964,50.0,Healthy
C01809,L009,Type_A,leakage_current,10.348,10.553,11.462,12.3,50.0,Healthy
C01810,L010,Type_A,leakage_current,9.941,10.089,10.672,11.343,50.0,Healthy
C01811,L011,Type_A,leakage_current,9.765,9.95,10.674,11.239,50.0,Healthy
C01812,L012,Type_C,leakage_current,10.052,10.396,11.387,12.149,50.0,Healthy
C01813,L013,Type_A,leakage_current,9.461,9.767,10.253,10.942,50.0,Healthy
C01814,L014,Type_B,leakage_current,11.262,11.461,12.008,12.657,50.0,Healthy
C01815,L015,Type_A,leakage_current,10.47,12.842,32.66,52.844,50.0,Rapid_Drift
C01816,L016,Type_A,leakage_current,10.197,18.559,43.384,68.039,50.0,Obvious_Failure
C01817,L017,Type_B,leakage_current,10.748,11.019,11.697,12.217,50.0,Healthy
C01818,L018,Type_A,leakage_current,10.047,10.103,10.489,10.696,50.0,Healthy
C01819,L019,Type_A,leakage_current,10.266,10.494,11.142,11.464,50.0,Healthy
C01820,L020,Type_A,leakage_current,10.318,10.45,11.05,11.89,50.0,Healthy
C01821,L021,Type_A,leakage_current,10.12,10.214,10.998,11.798,50.0,Healthy
C01822,L022,Type_A,leakage_current,10.138,10.456,11.092,11.864,50.0,Healthy
C01823,L023,Type_A,leakage_current,9.801,9.828,10.138,10.609,50.0,Healthy
C01824,L024,Type_B,leakage_current,10.261,12.205,29.308,45.555,50.0,Latent_Defect
C01825,L025,Type_A,leakage_current,10.639,10.665,10.912,11.011,50.0,Healthy
C01826,L026,Type_C,leakage_current,8.665,9.033,9.7,10.218,50.0,Healthy
C01827,L027,Type_A,leakage_current,10.031,10.146,10.976,11.899,50.0,Healthy
C01828,L028,Type_A,leakage_current,9.009,9.165,9.981,11.053,50.0,Healthy
C01829,L029,Type_A,leakage_current,9.413,11.379,31.791,40.926,50.0,Latent_Defect
C01830,L030,Type_C,leakage_current,10.144,10.43,11.487,12.5,50.0,Healthy
C01831,L031,Type_A,leakage_current,10.002,10.21,10.664,11.219,50.0,Healthy
C01832,L032,Type_B,leakage_current,10.275,10.493,10.963,11.831,50.0,Healthy
C01833,L033,Type_A,leakage_current,11.12,11.238,11.948,12.393,50.0,Healthy
C01834,L034,Type_A,leakage_current,9.705,9.685,10.249,10.274,50.0,Healthy
C01835,L035,Type_B,leakage_current,10.851,11.162,11.501,11.909,50.0,Healthy
C01836,L036,Type_B,leakage_current,12.178,12.463,12.986,13.662,50.0,Healthy
C01837,L037,Type_B,leakage_current,9.288,9.508,9.882,10.653,50.0,Healthy
C01838,L038,Type_A,leakage_current,9.789,9.924,10.68,11.597,50.0,Healthy
C01839,L039,Type_B,leakage_current,11.275,11.564,12.351,12.959,50.0,Healthy
C01840,L040,Type_A,leakage_current,9.892,10.006,10.443,10.954,50.0,Healthy
C01841,L041,Type_A,leakage_current,11.715,12.053,12.502,12.941,50.0,Healthy
C01842,L042,Type_A,leakage_current,9.945,10.241,11.008,11.812,50.0,Healthy
C01843,L043,Type_A,leakage_current,10.567,10.849,11.394,11.888,50.0,Healthy
C01844,L044,Type_B,leakage_current,10.953,12.203,24.095,36.493,50.0,Latent_Defect
C01845,L045,Type_A,leakage_current,9.344,9.653,10.2,10.692,50.0,Healthy
C01846,L046,Type_A,leakage_current,10.603,10.838,11.529,11.755,50.0,Healthy
C01847,L047,Type_A,leakage_current,9.973,9.913,10.143,10.458,50.0,Healthy
C01848,L048,Type_B,leakage_current,10.541,10.586,11.017,12.046,50.0,Healthy
C01849,L049,Type_A,leakage_current,9.525,9.767,10.315,10.724,50.0,Healthy
C01850,L050,Type_A,leakage_current,10.827,10.873,11.483,12.025,50.0,Healthy
C01851,L051,Type_A,leakage_current,9.919,10.239,11.318,12.181,50.0,Healthy
C01852,L052,Type_A,leakage_current,9.528,9.972,10.357,10.685,50.0,Healthy
C01853,L053,Type_B,leakage_current,10.754,10.901,11.513,12.396,50.0,Healthy
C01854,L054,Type_A,leakage_current,10.448,10.774,11.369,11.638,50.0,Healthy
C01855,L055,Type_A,leakage_current,10.289,10.413,11.181,12.023,50.0,Healthy
C01856,L056,Type_A,leakage_current,10.059,13.462,32.61,51.421,50.0,Rapid_Drift
C01857,L057,Type_A,leakage_current,10.491,19.477,46.878,74.462,50.0,Obvious_Failure
C01858,L058,Type_A,leakage_current,11.676,11.862,12.571,13.01,50.0,Healthy
C01859,L059,Type_B,leakage_current,11.226,11.266,11.987,13.153,50.0,Healthy
C01860,L060,Type_B,leakage_current,10.884,19.858,47.495,75.491,50.0,Obvious_Failure
C01861,L061,Type_A,leakage_current,9.3,9.399,10.113,10.971,50.0,Healthy
C01862,L062,Type_B,leakage_current,9.133,9.302,10.101,10.741,50.0,Healthy
C01863,L063,Type_B,leakage_current,11.689,11.877,12.428,13.022,50.0,Healthy
C01864,L064,Type_A,leakage_current,10.224,10.565,11.197,11.795,50.0,Healthy
C01865,L065,Type_B,leakage_current,10.535,10.621,11.002,11.426,50.0,Healthy
C01866,L066,Type_B,leakage_current,10.501,10.876,11.782,12.473,50.0,Healthy
C01867,L067,Type_B,leakage_current,11.38,11.72,12.199,12.576,50.0,Healthy
C01868,L068,Type_A,leakage_current,9.003,9.149,9.469,9.708,50.0,Healthy
C01869,L069,Type_B,leakage_current,9.699,9.813,10.364,11.034,50.0,Healthy
C01870,L070,Type_B,leakage_current,11.881,12.13,12.956,13.553,50.0,Healthy
C01871,L071,Type_B,leakage_current,11.479,11.607,12.512,13.236,50.0,Healthy
C01872,L072,Type_C,leakage_current,9.718,14.947,29.838,45.047,50.0,Obvious_Failure
C01873,L073,Type_C,leakage_current,8.97,10.52,31.41,42.641,50.0,Latent_Defect
C01874,L074,Type_A,leakage_current,11.153,11.404,11.491,11.6,50.0,Healthy
C01875,L075,Type_A,leakage_current,10.784,11.034,12.244,12.938,50.0,Healthy
C01876,L076,Type_B,leakage_current,11.732,12.246,12.833,13.447,50.0,Healthy
C01877,L077,Type_A,leakage_current,10.845,13.374,30.642,49.045,50.0,Rapid_Drift
C01878,L078,Type_B,leakage_current,11.407,11.62,11.875,12.567,50.0,Healthy
C01879,L079,Type_A,leakage_current,9.897,9.841,10.611,11.269,50.0,Healthy
C01880,L080,Type_A,leakage_current,10.382,16.135,33.399,50.592,50.0,Obvious_Failure
C01881,L081,Type_B,leakage_current,11.225,11.507,12.385,12.906,50.0,Healthy
C01882,L082,Type_A,leakage_current,10.072,10.41,11.238,11.463,50.0,Healthy
C01883,L083,Type_B,leakage_current,10.27,11.797,24.853,38.119,50.0,Latent_Defect
C01884,L084,Type_A,leakage_current,9.616,11.176,28.762,42.247,50.0,Latent_Defect
C01885,L085,Type_A,leakage_current,10.791,11.116,11.949,12.886,50.0,Healthy
C01886,L086,Type_A,leakage_current,9.297,9.397,10.021,10.415,50.0,Healthy
C01887,L087,Type_B,leakage_current,10.572,10.928,11.854,12.572,50.0,Healthy
C01888,L088,Type_A,leakage_current,9.866,16.973,38.215,59.846,50.0,Obvious_Failure
